,tweet_text,sentiment,query_used,nome
38,"mas foi uma puta de uma boa ideia de estrategia, temos que reconhecer. basicamente vai fazer com alckmin o que plinio de arruda fez com o uol que nao o convidou para o ""primeiro debate online"" em 2010. lembra? plinio fez o primeiro debate online paralelo.",Positivo,alckmin :),alckmin
39,mimimi de viuva do ciro?,Positivo,ciro :),ciro
41,roda viva acabando com bolsonaro. mais 2 programas desse tipo e alckmin vira o candidato da direita no 2o turno,Positivo,alckmin :),alckmin
42,se o bolsonaro for eleito eu quero ir embora do pais,Negativo,bolsonaro :(,bolsonaro
43,votem no ciro gomes,Positivo,ciro :),ciro
44,"fico feliz q alguem que eu tanto admire na interne tenha um mesmo ideal que o meu! to junto contigo no apoio ao ciro, rola",Positivo,ciro :),ciro
45,"ciro gomes vai tirar meu nome do serasa? ai ta certo! mas resolve o probleminha do score de credito tambem, visse? senao nem muda muita coisa.",Positivo,ciro :),ciro
46,"eu e o ciro ficamos na pousada da jiboia, e simples, mas bem limpinha e o cafe da manha gostoso tb",Positivo,ciro :),ciro
47,"fico triste de verdade em ver uma menina tao linda como vc apoiar bolsonaro.  achei que vc fosse inteligente tb e nao apoiass... -- essa pergunta tinha sumido daqui e agora apareceu.... ahhh, ja te respondi no twitter. ja deve te...",Negativo,bolsonaro :(,bolsonaro
48,"oi amor, sou do ceara e o estado n ta quebrado, nem decadente nao kkkk se vc vir aqui, mts cearenses vao elogiar o trabalho dos ferreira gomes inclusive do ivo gomes, irmao do ciro e atual prefeito de sobral",Positivo,ciro :),ciro
49,"tem uma entrevista do canal love treta no youtube, com monica iozzi que eles falam justamente sobre o arrependimento de ter dado tanto espaco pra bolsonaro no cqc. ninguem ia imaginar uma porra dessas",Negativo,bolsonaro :(,bolsonaro
50,nunca estive tao certo sobre em quem vou votar  (((bolsonaro)))!!,Negativo,bolsonaro :(,bolsonaro
51,nao consegui ver o bolsonaro na live do roda viva  depois eu vejo no xvideos,Negativo,bolsonaro :(,bolsonaro
52,eu queria ver o bolsonaro passar vergonha com as propostas de governo dele.  mas os jornalistas insistem em reforcar as asneiras que nos ja sabemos que ele fala.,Negativo,bolsonaro :(,bolsonaro
53,entao vamos ver o bolsonaro no roda viva... medo,Negativo,bolsonaro :(,bolsonaro
54,queria que ela fosse vice do bolsonaro,Negativo,bolsonaro :(,bolsonaro
55,quero morar nesse estado de sao paulo do alckmin .,Positivo,alckmin :),alckmin
56,"eu vai comecar o jogo do gremio, vamo secar manoela mas dai a gente nao vai poder ver o ciro gomes na globonews",Negativo,ciro :(,ciro
57,"poxa, amg, mas katia iria compor um governo pedetista de ciro de qq forma. se ciro fosse meu voto, eu nao mudaria por conta da katia ser vice. ela e do pdt. bem, sei la, esfria a cabeca e pensa melhor. porque vale mto votar por decisao ideologica.",Positivo,ciro :),ciro
58,"sim, nao e simples. e lidar com a vaidade do ciro ninguem merece. ele que se dane",Positivo,ciro :),ciro
59,"a direita entao, e de dar do... nao vou dar ibope pra nenhum aventureiro. mas ao que tudo indica, o alckmin leva essa. mesmo com todos podres na cara da galera, o anti ""petismo"" irracional leva essa. e triste, mas e proq caminha essa peleja. bons 4 anos de tucanato, brasil",Positivo,alckmin :),alckmin
60,eu queria ver os jornalistas piauienses entrevistando um ciro gomes da vida.,Positivo,ciro :),ciro
61,do ponto de vista eleitoral se isola o ciro e vemos as rasteiras da vida,Positivo,ciro :),ciro
62,coracao doeu hoje quando uma das minhas alunas mais queridas falou que apoia bolsonaro,Negativo,bolsonaro :(,bolsonaro
64,"sem mais... e digo mais bolsonaro, boulos, ciro... quem quer que venha, o brasil vai merecer essa pessoa. parabens, brasileiros!",Positivo,ciro :),ciro
65,"e isso mesmo gi / e visivel como os eleitores do bolsonaro sao, na sua grande maioria, preconceituosos / racistas / homofobicos. triste  minha esperanca e acreditar que a maioria da populacao do brasil nao seja assim",Negativo,bolsonaro :(,bolsonaro
66,"todas vez que li ""a culpa do crescimento do bolsonaro e da esquerda"" o assunto estava atrelado a problematizacoes contestaveis de internet, tipo branca nao pode usar turbante etc. descobriram que da pra alavancar um bosta usando a escorregada que o outro lado da.",Negativo,bolsonaro :(,bolsonaro
67,"eu nao sou branco, sou conservador, de direita, vou votar bolsonaro e ainda casei com um loira. acho que vou passar a pagar por nao lacrar e nao seguir a cartilha.",Negativo,bolsonaro :(,bolsonaro
68,psl pq me matou trocando o  pelo bolsonaro?,Negativo,bolsonaro :(,bolsonaro
69,"foda  pior que eleitor de bolsonaro nao muda de ideia por nada, e tem gente que e bem instruida e vota nele, piorou. nao tem nem como contra argumentar com quem ja tem opiniao formada",Negativo,bolsonaro :(,bolsonaro
70,entao... sinto o mesmo  mas nao sei quem mais e um candidato viavel pra esquerda barrar o bolsonaro,Negativo,bolsonaro :(,bolsonaro
71,paulo guedes defende bolsonaro e da aula de economia.  via  sensacional! assistam nosso futuro ministro da fazenda,Positivo,bolsonaro :),bolsonaro
72,e os 200.000 que voce acusa bolsonaro de ter recebido nem processo teve,Positivo,bolsonaro :),bolsonaro
73,"boscardin, tua familia nao reclama que tu nao conversas mais com eles. tu ainda sabes o nome da tua mulher e do teu filho? e muita atracao pelo bolsonaro, meu amigo",Positivo,bolsonaro :),bolsonaro
74,promessas do alckmin  as mesmas do golpe,Positivo,alckmin :),alckmin
75,eu quero tanto que o ciro ganhe as eleicoes,Negativo,ciro :(,ciro
76,e muito massa o ciro representar a esquerda tendo a rainha do agronegocio de vice  quem representa a esquerda e o militante do mtst e a indigena que estao candidatando,Positivo,ciro :),ciro
77,"ciro e, mas tambem veja entrevista achei otimo nao vi a da marina me parece muito fraca(me parece) realmente falta amoedo, infelizmente nao estara nas entrevistas da globo news veremos nos debates",Positivo,ciro :),ciro
78,"antes a gente tinha que bater na cara de quem dizia que 'nao vai ter eleicao', agora tem que bater na cara de quem diz que 'o bolsonaro e um biombo do alckmin'",Positivo,alckmin :),alckmin
79,"e o pt de pernambuco decide peitar a direcao nacional e dizer que marilia arraes e candidata sim, na contramao do acordo com o psb. so vendo a encrenca  a noticia e boa... pro ciro (depois da rasteira do lula)",Positivo,ciro :),ciro
80,"tb gostei do  talvez na hora que o bolsonaro disse que tinha 500 projetos apresentados, poderia questionar como o povo pode acreditar num candidato que infla descaradamente seus numeros. ele entrou e muitas contradicoes e isso nao ficou evidente....",Negativo,bolsonaro :(,bolsonaro
81,"mundo pequeno, este. ciro gomes acusou o pt de golpista.",Positivo,ciro :),ciro
82,"ciro, voce ja tem que esperar essas perguntas pentelhas. nao caia no joguinho. a resposta "" esse episodio ja atrapalha, nao estamos discutindo coisas serias"" e perfeita. e assuma mais. diga que para defender o brasil nao mede esforcos. e pede desculpas pelos erros.",Positivo,ciro :),ciro
83,"voce faz retirada do lucro da sua empresa pra comprar jatinho e iate? se sim, espero q o ciro soque imposto no seu rabo",Positivo,ciro :),ciro
84,poxa galera o bolsonaro tava so brincando vamo dar um desconto ne tadinho estamos julgando um inocente,Negativo,bolsonaro :(,bolsonaro
85,ciro gomes,Positivo,ciro :),ciro
86,"decidi ver a entrevista do bolsonaro... serio, a cada 10 segundos eu solto um ""meu deus do ceu""",Negativo,bolsonaro :(,bolsonaro
87,"eu to tao decepcionado, meu pai apoia o bolsonaro",Negativo,bolsonaro :(,bolsonaro
88,"bolsonaro e todos os politicos, beleza ter intencoes mas nenhum deixa claro o suficiente, todos se expressam mal demais... nao vejo nenhum candidato bom o suficiente n",Negativo,bolsonaro :(,bolsonaro
89,seria mais engracado se o bolsonaro nao tivesse chances de ser eleito,Negativo,bolsonaro :(,bolsonaro
90,juntou outro primo. o raciocinio simplorio bolsonaro nao e corrupto,Negativo,bolsonaro :(,bolsonaro
91,medo desse brasil que todo dia tem hashtag de bolsonaro no topo!! ( e nem e metendo o pau ),Negativo,bolsonaro :(,bolsonaro
92,"se voce pudesse trocar sua vida com qualquer celebridade por um dia, quem seria e o que voce faria?  -- bolsonaro """"""celebridade"", eu me mataria",Positivo,bolsonaro :),bolsonaro
93,"mas eu juro pra vc que nao quero ser defensor do bolsonaro principalmente por discordar dele, entao ache oq quiser dele, nao quero que ele seja presidente assim como vc  )",Positivo,bolsonaro :),bolsonaro
94,"neim eu, sou apenas ant-comunismo bolsonaro e o unico candidato contra esta ideologia  se ele fazer merda nao vou continuando apoiando ele... talvez eu apoie o eduardo bolsonaro",Positivo,bolsonaro :),bolsonaro
95,"alguem avisa pra biscoiteira q o bolsonaro e o unico q apresentou projeto contra estuprador e alias, certeza q quem essa bicha apoia ganhar as eleicoes ela tera q conviver harmoniosamente com estuprador e o pior... sem reclamar",Positivo,bolsonaro :),bolsonaro
96,"lutando contra tipos como o senhor, esquerdista despeitado! e bolsonaro chegara a presidente da republica em primeiro turno, pra desespero total da esquerdalha que atrasa o brasil faz tempo! um conselho e melhor nao ir se acostumando e correr pra cuba!",Positivo,bolsonaro :),bolsonaro
97,"precisa nem ir tao longe ""ter filho gay e falta de porrada"" - jair bolsonaro, 2014",Positivo,bolsonaro :),bolsonaro
98,"gnt, eu n quero o pt! ciro!",Negativo,ciro :(,ciro
99,meu deus ciro  o brasil nao te merece,Negativo,ciro :(,ciro
100,gente o ciro,Negativo,ciro :(,ciro
101,"vai ser ciro, amigo. boulos nao ganha",Negativo,ciro :(,ciro
102,e o lula ainda quer foder o ciro,Positivo,ciro :),ciro
103,"""menos pior que tem mais chances""... que restringe a escolha entre bolso, alckmin, marina, ciro. nenhum desses e o melhor qdo se considera as todas as opcoes.",Positivo,alckmin :),alckmin
104,"na situacao atual, qualquer um q bater de frente com bolsonaro. n vale a pena votar em quem obviamente ainda n tem chances de ganhar",Negativo,bolsonaro :(,bolsonaro
105,sera que consigo assistir a sabatina do ciro na integra pela internet? vou usar meu horario de almoco pra ver,Positivo,ciro :),ciro
106,"essa turma nao nos interessa, afinal, temos viuvos do pt e indecisos por ai.  vamos virar esse jogo.",Positivo,ciro :),ciro
107,ciro gomes no globonews,Positivo,ciro :),ciro
108,"a sabatina do bolsonaro passou pra sexta? me ferrou... eu tenho um encontro. traducao ao inves de fazer a corte com uma mulher linda, irei ficar a madrugada toda tweetando os absurdos que os ""jornalistas"" perguntarao ao  mesmo de longe o brasil me fode!",Negativo,bolsonaro :(,bolsonaro
109,"eu li bem rapido para teres uma resposta,nao achei em nenhum momento algo parecido com que bolsonaro vem falando e ""matar bandido"" e etc valeu pela indicacao,lerei mais sobre o caso depois leia sobre a politica de seguranca publica do ciro gomes, de repente se interessa",Positivo,ciro :),ciro
110,mas pelo menos nao cliquei em quem eu votaria mesmo hahah. porem um bolsonaro fora e mlr q nada,Negativo,bolsonaro :(,bolsonaro
111,"magina, faco isso direto tb.. como assim, tu poderia ter ficado por la?? volta pra la enqt tem tempo q esse ano tem bolsonaro aqui  ahhhh, hoje em dia eu acho que dificilmente eu iria em algum show tb hahah nem sei se tenho mais pique =/",Negativo,bolsonaro :(,bolsonaro
112,decepcionada estou com marcos pontes apoiando bolsonaro  um idolo perdido,Negativo,bolsonaro :(,bolsonaro
113,ninguem ta perguntando pro bolsonaro sobre o grafeno,Negativo,bolsonaro :(,bolsonaro
114,repensei sobre o bolsonaro depois de ver esse video  estava errado esse tempo todo,Negativo,bolsonaro :(,bolsonaro
115,feio sim eleitor do bolsonaro jamais,Positivo,bolsonaro :),bolsonaro
116,conte-nos sobre a sua cidade dos sonhos  -- uma cidade q o bolsonaro nao tenha eleitores,Positivo,bolsonaro :),bolsonaro
117,kkkkkkkkkkkkkkkkkkkkkkk' conta outra !!! kkkkk' bolsonaro vem ai !!!',Positivo,bolsonaro :),bolsonaro
118,com general mourao como vice do bolsonaro eu so quero ver quantas vezes a esquerda vai pensar antes de pedir um impeachment!,Positivo,bolsonaro :),bolsonaro
119,"bolsonaro vai contra a legalizacao do aborto. e sabe pqr? porque nao vai ser ele que pode morar nas ruas, passar fome ou ter um trauma fodido na mente no futuro. o problema de voces e viverem em um mundo onde quem ""derruba"" a globo ta no topo.",Positivo,bolsonaro :),bolsonaro
120,"aqui em casa, eu e meu irmao somos bolsonaro. meu pai nao gosta muito de politica, diz que ""-e tudo ladrao!"", mas acabei de mostrar a entrevista do  e no  e ele disse que vai votar nele ""so pela coragem"". proximo passo mostrar pra minha mae!",Positivo,bolsonaro :),bolsonaro
121,enquete do noblat bolsonaro com 80%,Positivo,bolsonaro :),bolsonaro
122,"rosas sao vermelhas, violeta e azul, se vc apoia o bolsonaro vai tomar no cu",Positivo,bolsonaro :),bolsonaro
123,interessante a esquerda tuiteira criticando o bolsonaro por falta de liberalismo. parece que a janela de overton se moveu bastante hein,Positivo,bolsonaro :),bolsonaro
124,"radical e voce que fica bravo com pessoas que votarao em bolsonaro, eu vou votar nele e te amo mesmo assim",Positivo,bolsonaro :),bolsonaro
125,"eleitores do bolsonaro perdi muitos, como tambem dei block em muitos. rsrs em compensacao ganhei muitos seguidores legais que eu sempre admirei.",Positivo,bolsonaro :),bolsonaro
126,"e qualquer porta, inclusive ele, sabe que garantia de dinheiro no bolso, comida na mesa e paz pra sair e voltar pra casa sao um tripe pra vencer eleicao. e bolsonaro nao tem formula para nada disso. basta as pessoas descobrirem",Positivo,bolsonaro :),bolsonaro
127,"voce seria o ricardo almeida no alge da fama (porque ele so e um fantasma agora), porem teria que gravar o video mais forcado da tua vida com o bolsonaro beijos",Positivo,bolsonaro :),bolsonaro
128,"ja eu acho que comeca pela autocritica, nao pela critica. do ponto de vista de pautar a discussao, o bolsonaro simplesmente ja venceu",Positivo,bolsonaro :),bolsonaro
129,"vejo petistas, ou gente de 'psiquismo petista', dizendo que o bolsy e um biombo do alckmin, e nao uma ameaca propria e real (agora que ta dificil de dizer que 'nao vai ter eleicao')  evidentemente isso se da por...",Positivo,alckmin :),alckmin
130,"""isso e culpa desse esquerdismo infantil que nao para pra estudar ha muitos anos"". que porrada, ciro.",Positivo,ciro :),ciro
131,"curioso como o pt enterrou o ciro em favor do psdb ne? quem iria esperar uma coisa dessas, o meu deus",Positivo,ciro :),ciro
132,"feminismo e modinha entre os candidatos hoje, mas antes nao era. nao e a primeira vez que ele fala isso.",Positivo,ciro :),ciro
133,"estou esperando o ""voce estava certo sobre o pt nao apoiar ciro gomes"", so para tu saber e tal",Positivo,ciro :),ciro
134,tenho tanto medo de ver o bolsonaro sendo eleito e suicidio em massa acontecer como aconteceu nos eua quando trump foi eleito,Negativo,bolsonaro :(,bolsonaro
136,dificil ser hetero e eleitor do bolsonaro,Negativo,bolsonaro :(,bolsonaro
137,"bom eu nao posso falar muito do bolsonaro pq a primeira vez que eu fiz o teste do buzzfeed ""quem seria voce em harry potter"" deu que eu seria aquela bruxa a mais malvada de todas, a bellatrix lestrange  ai falei ah nao, nao valeu, e fiz de novo e so postei o segundo resultado",Negativo,bolsonaro :(,bolsonaro
138,deus me livre ver bolsonaro no roda viva. to passando raiva so de ver as noticias.,Negativo,bolsonaro :(,bolsonaro
139,"os jornalistas se contaminaram pelo lixo humano que o bolsonaro e e nao se dispuseram a desconstruir seus supostos ""argumentos"", entrando no joguinho de lacracao dele  deviam ter insistido mais no que realmente importa, suas zero propostas para o pais.",Negativo,bolsonaro :(,bolsonaro
140,queria ter dinheiro pra sumir do brasil se o bolsonaro for presidente,Negativo,bolsonaro :(,bolsonaro
141,queria ta na posse do bolsonaro ano que vem,Positivo,bolsonaro :),bolsonaro
142,tudo bem. ouvir a populacao eh algo qu3 bolsonaro tambem vai fazer. ela vai ouvir a populacao e depois.... vai mexer na previdencia. da na mesma nesse sentido. detalhe que bolso tem um equipe.muito boa estudando a previdencia.,Positivo,bolsonaro :),bolsonaro
143,"seu velho asqueroso, nao entende mesmo ou finge? voces sempre arrumando alguma coisa pra diminuir o bolsonaro, mas nao foi dessa vez",Positivo,bolsonaro :),bolsonaro
144,bolsonaro falou e falou bonito! esse e o meu presidente!,Positivo,bolsonaro :),bolsonaro
145,"gostei bastante da entrevista com o bolsonaro hoje na globo news. ele realmente aparenta estar disposto pra ajudar o brasil (economicamente falando). porem, ainda sim nao tem meu voto. apesar da esperanca que ele da nesse meio, ele ainda e vacilao.",Positivo,bolsonaro :),bolsonaro
146,bolsonaro dominando o debate. mandando ver,Positivo,bolsonaro :),bolsonaro
147,"eu separo meus vizinho assim o que bate na mulher, o que bate no enteado adolescente, o ex sindico racista, o ex sindico q assediava as funcionarias do predio, o velho que dava em cima de mim quando eu era adolescente e o que tem adesivo do bolsonaro no carro",Positivo,bolsonaro :),bolsonaro
148,voces falam que bolsonaro e do mal. mas um cara que salva a sogra que esta se afogando so pode ser do bem. so para constar eu tambem salvo a minha sem pensar duas vezes.,Positivo,bolsonaro :),bolsonaro
149,"bolsonaro, fale mais sobre o niobio",Positivo,bolsonaro :),bolsonaro
150,"dps da laboral no trabalho ""vms tirar uma selfie com o dedinho do bolsonaro"" ops perai dx eu sair da foto",Positivo,bolsonaro :),bolsonaro
151,"alguem aqui falou isso cara? acho que voce esta ficando meio doido da cabeca ah sim, bolsonaro ja ganhou muito apoio no plenario  creio que voce nao soube disso hein.",Positivo,bolsonaro :),bolsonaro
152,"acho o bolsonaro muito extremista, quer mudar muita coisa. vou votar num cara bem moderado, de fala bem mansa, de muita serenidade e parcimonia, que e pra ter certeza de que nada importante vai mudar",Positivo,bolsonaro :),bolsonaro
153,"vc tem medo do bolsonaro, pq e um viado! -- nao tenho medo de ninguem mano. bolsonaro nao aguenta 5 minutos de porrada comigo.",Positivo,bolsonaro :),bolsonaro
154,"vcs tem que entender que nao e pq alguem fala que o bolsonaro e um lixo ( ele e sim ) que essa pessoa e esquerdista, as vezes ela tabm quer que o lula va pra pqp.",Positivo,bolsonaro :),bolsonaro
155,nao tinha visto essa do alckmin  critica a fapesp por pesquisas sem utilidade...,Positivo,alckmin :),alckmin
156,"obrigado angelica pelos esclarecimentos  boa parte dos que conheci estavam no exterior e defendem ideias como a do ciro gomes e ontem um prof. universitario defendeu as ideias do boulos, todos (sem excecao) sao de humanas.",Positivo,ciro :),ciro
157,"se tem uma coisa que o lula consegue fazer com eficiencia, estando em cana, e foder o ciro. 'querias' que o ciro comesse o petismo pelas beiradas, de graca",Positivo,ciro :),ciro
158,ciro passou pelo trator do pig com sucesso!!,Positivo,ciro :),ciro
159,"entendo, estou em duvida ainda entre bolsonaro e marina, e por deus, quero fazer a escolha certa, ainda tenho medo, quero ter certeza que o pt se mantenha afastado! mas nao estou certa de que marina compactua com pt.",Negativo,bolsonaro :(,bolsonaro
160,"a criancada ta tao alegre com o bolsonaro no roda viva (mesmo ele dando um show de burrice), esperem ate ele enfrentar o ciro gomes nos debates",Positivo,ciro :),ciro
162,"tem uma mulher, a manuela alguma coisa, ela e a favor dos gays, do aborto, de todas essas coisas e eu queria muito votar nela mas ela nao chega nem no segundo turno infelizmente  temos que nos juntar pra votar em alguem que poderia ir pro segundo turno com o bolsonaro",Negativo,bolsonaro :(,bolsonaro
163,"passada, o boy conhecido e belissimo ainda do meu facebook, fui ver um ""debate"" ele e a favor do bolsonaro  mereco",Negativo,bolsonaro :(,bolsonaro
164,"antes meu maior medo era nao conseguir terminar minha tese a tempo, agora e o bolsonaro ganhar essa eleicao.",Negativo,bolsonaro :(,bolsonaro
165,aquele momento lamentavel em que o poderoso castiga ( consegue queimar mais o bolsonaro do que a roda inteira do roda viva.,Negativo,bolsonaro :(,bolsonaro
166,"o bolsonaro falando de economia parece eu tentando zoar o botafogo comeco a falar de varias coisas que eu nao sei so pra irritar meu namorado. so que, no caso do bolsonaro, o namorado e o povo brasileiro",Negativo,bolsonaro :(,bolsonaro
167,"conhece gente, muita, que vai votar no bolsonaro para deixar a esquerda p da vida. ""se eles puderam eleger a dilma, pq nao podemos o bolsonaro?"" tai o resultado na insistencia na fratura do pais.",Negativo,bolsonaro :(,bolsonaro
168,tem gente animado pra ver o roda viva com o bolsonaro?... eu to e com medo!,Negativo,bolsonaro :(,bolsonaro
169,mulheres bonitas e que terao filhos lindos rezam todos os dias e votam no bolsonaro  -- kkkkkkkkk amem,Positivo,bolsonaro :),bolsonaro
170,melhor que bolsonaro,Positivo,bolsonaro :),bolsonaro
171,"o, nao tenho. tb estou muito confusa em relacao ao meu voto. mas sei que bolsonaro nao e uma boa! muita sabedoria pra nos!",Positivo,bolsonaro :),bolsonaro
172,"vim pra sao paulo de carona hoje e tive que escutar uma menina gritando pra mim que o bolsonaro era a melhor opcao pois a midia que criou esta imagem dele, que na vdd ele e otimo",Positivo,bolsonaro :),bolsonaro
173,"com certeza!!! eu, pessoalmente, nao me sinto apenas feminista, mas tbm acho q temos q zelar por e buscar todo tipo de igualdade - seja de etnia, sexo, genero, enfim... seguimos fortes na luta  obs por isso eu nao votarei no bolsonaro (foi o inicio da discussao ali em cima)",Positivo,bolsonaro :),bolsonaro
174,ate o info wars ja sabe quem e bolsonaro!,Positivo,bolsonaro :),bolsonaro
175,"e isso te da a certeza absoluta que ninguem que vota no bolsonaro quer intervencao militar? gostaria de ver os dados dessa pesquisa, ela e bem interessante",Positivo,bolsonaro :),bolsonaro
176,"bolsonaro ta como deputado a varios anos e nunca fez nada, nenhum projeto . pra falar a verdade politicamente falando estamos e lascados.",Positivo,bolsonaro :),bolsonaro
177,"a  tirou do ar o bolsonaro que estava recebendo varios cumprimentos, o bolsonaro e querido, nao adianta querer esconder .",Positivo,bolsonaro :),bolsonaro
178,"estava claro sua tentativa de manchar a imagem do bolsonaro, mas o povo brasileiro sabe toda a verdade, sabe quem e o vilao e quem e o mocinho",Positivo,bolsonaro :),bolsonaro
179,meu marido sempre foi bolsonaro. eu sempre fui contra. agora e oficial. a globo trouxe paz ao meu casamento.,Positivo,bolsonaro :),bolsonaro
180,- bolsonaro voces todos jornalistas sao pessoa juridica!! - jornalistas vamos chamar o intervalo,Positivo,bolsonaro :),bolsonaro
181,os defensores do bolsonaro sumiram da minha time line,Positivo,bolsonaro :),bolsonaro
182,eu com o tempo do alckmin levava,Positivo,alckmin :),alckmin
183,"com o ciro pode continuar a mesma merda, mas com o bolsonaro vai piorar",Positivo,ciro :),ciro
184,"eu queria nao ter vontade de responder a todo mundo que fala bem do bolsonaro, mas e mais forte que eu",Negativo,bolsonaro :(,bolsonaro
185,"em tudo. primeiro que ele nao desmentiu ciro sobre a especulacao do petroleo, so falou que ele errou no preco. mentiu sobre dizer que ciro vai aumentar tributos. so mais um direitista ignorante sendo intelectualmente desonesto",Positivo,ciro :),ciro
186,"o do ciro e ele mesmo, voce nao assiste as entrevistas? ele nao fala que vai conversar com x ou y, ele diz o que vai fazer... assista novamente",Positivo,ciro :),ciro
187,kkkkkkkkk bolsonaro falando q n tem condicoes de pagar as proprias passagens oh coitado deve ganhar tao pouco,Negativo,bolsonaro :(,bolsonaro
188,aproveito para convida-los a assistir o roda viva do ciro gomes!,Positivo,ciro :),ciro
